id,name,category,sales,profit,active
1,Majority,Vegetable,280.11,97.76,False
2,Too,Vegetable,466.05,14.96,True
3,Thank,Vegetable,442.18,113.55,False
4,Cover,Dairy,172.38,29.2,True
5,Plan,Snack,55.55,58.52,True
6,Yard,Snack,394.87,113.14,False
7,Professor,Vegetable,106.51,95.17,True
8,Office,Fruit,192.66,45.06,False
9,Admit,Vegetable,324.95,99.99,False
10,Area,Snack,59.76,124.93,True
11,Trade,Fruit,370.37,85.52,True
12,Her,Dairy,113.02,139.05,True
13,Able,Vegetable,440.5,103.11,True
14,Artist,Fruit,244.0,11.08,False
15,Concern,Beverage,101.32,137.07,False
16,Step,Beverage,340.73,120.22,True
17,Remain,Snack,119.32,65.01,True
18,Thank,Beverage,350.08,149.5,True
19,Gun,Fruit,140.68,52.96,False
20,Necessary,Vegetable,480.77,137.78,True
21,Special,Snack,333.99,139.07,True
22,Property,Snack,248.11,133.94,True
23,Wonder,Beverage,437.68,75.21,False
24,Window,Fruit,441.68,141.07,False
25,Then,Fruit,129.22,59.98,True
26,Do,Fruit,106.43,55.15,False
27,Natural,Vegetable,63.51,54.6,False
28,You,Fruit,152.82,149.44,False
29,Gas,Fruit,109.36,118.38,True
30,Place,Fruit,205.96,81.69,True
31,Put,Snack,350.57,86.83,False
32,Class,Snack,386.47,112.39,True
33,Through,Vegetable,333.56,141.84,False
34,Deep,Dairy,319.09,69.84,True
35,Realize,Snack,55.61,77.61,False
36,Pay,Snack,124.1,61.14,True
37,Policy,Fruit,108.96,78.11,False
38,Pm,Fruit,426.3,69.51,True
39,Appear,Vegetable,79.29,145.92,True
40,Dark,Dairy,291.58,136.64,False
41,Reduce,Fruit,433.82,142.63,False
42,Exist,Dairy,316.91,146.82,True
43,System,Dairy,281.03,22.32,True
44,Start,Fruit,188.67,57.08,True
45,Under,Fruit,78.67,57.64,True
46,Amount,Fruit,288.23,98.44,False
47,Page,Vegetable,479.96,65.71,True
48,Too,Snack,137.11,48.48,False
49,It,Fruit,289.4,113.57,False
50,Culture,Snack,94.36,125.22,False
